species_name,lon,lat,year,month,is_presence,sst,chl_a,salinity,bathymetry
example_species,114.6757,29.5264,2023,8,1,21.45,0.788,30.52,-119.8
example_species,117.801,20.6796,2023,8,1,22.97,0.497,28.59,-19.0
example_species,118.2007,25.6192,2021,5,0,18.02,0.619,31.08,-5.0
example_species,112.7728,29.3879,2020,12,1,20.88,0.508,29.94,-13.7
example_species,124.5438,27.547,2020,1,0,19.23,0.513,30.62,-5.0
example_species,121.627,32.8473,2023,10,0,19.43,0.538,29.53,-105.5
example_species,124.0925,29.8804,2022,7,0,19.31,0.644,30.37,-142.6
example_species,123.4224,22.444,2021,12,0,18.89,0.504,29.53,-5.0
example_species,118.9685,21.0585,2022,10,1,20.2,0.851,29.73,-70.2
example_species,123.8281,29.6363,2022,5,0,18.95,0.421,31.02,-72.2
example_species,111.3274,20.3977,2022,8,0,20.42,0.563,29.91,-5.0
example_species,112.9397,28.7866,2020,9,0,19.97,0.512,30.12,-22.9
example_species,110.6784,34.1035,2023,11,1,19.65,0.889,30.44,-33.9
example_species,114.88,28.6321,2020,7,0,18.71,0.639,30.27,-5.0
example_species,115.8302,25.8225,2023,7,0,19.22,0.806,30.1,-92.2
example_species,114.0702,29.6493,2021,1,0,21.19,0.303,30.2,-5.0
example_species,122.4311,26.8738,2021,4,1,20.92,0.653,31.26,-51.1
example_species,115.3513,28.1843,2022,2,0,18.61,0.778,29.99,-39.6
example_species,114.214,34.122,2023,2,0,20.21,0.616,30.12,-5.0
example_species,118.1404,25.7915,2023,2,1,21.24,0.813,30.56,-23.1
example_species,112.1139,34.4179,2023,4,0,17.53,0.496,30.56,-29.3
example_species,122.033,33.5803,2022,1,1,20.98,0.882,30.65,-5.0
example_species,111.1183,22.9369,2022,4,1,19.02,1.06,30.32,-72.8
example_species,124.8033,21.0404,2021,2,1,21.06,0.527,29.49,-101.2
example_species,121.5837,21.5117,2020,5,0,19.02,0.511,30.87,-113.1
example_species,112.9807,20.2733,2023,3,0,17.33,0.891,29.44,-169.6
example_species,110.0828,21.4166,2023,12,0,17.56,0.916,30.15,-5.0
example_species,122.2319,30.2451,2020,8,0,20.24,0.495,29.68,-123.9
example_species,120.6029,21.0678,2023,4,1,20.54,0.516,30.01,-64.1
example_species,120.9351,24.7846,2022,1,0,18.8,0.544,30.21,-69.2
example_species,121.5691,32.6731,2022,1,0,21.12,0.331,30.21,-41.5
example_species,111.1107,20.3491,2023,12,0,17.52,0.416,30.22,-5.0
example_species,115.377,32.217,2022,10,0,19.98,0.399,30.83,-7.9
example_species,111.738,24.2278,2022,3,0,18.21,0.446,30.23,-87.1
example_species,122.9466,21.7725,2023,9,0,19.2,0.593,29.93,-60.2
example_species,119.3495,30.4511,2021,7,1,20.2,0.647,30.52,-40.9
example_species,114.9635,29.4341,2020,2,0,18.78,0.91,30.62,-71.8
example_species,110.9534,33.1621,2022,9,0,19.44,0.4,29.39,-5.0
example_species,114.6647,31.0261,2021,10,1,21.57,0.797,30.32,-28.9
example_species,114.8777,32.0522,2022,2,0,19.2,0.557,30.37,-15.3
example_species,120.9441,24.2305,2022,3,1,21.41,0.59,29.9,-12.3
example_species,119.5634,22.6616,2020,11,0,18.44,0.735,30.73,-5.0
example_species,123.3082,31.2592,2022,10,0,20.98,0.375,29.98,-47.8
example_species,117.0832,32.1025,2020,2,1,22.26,0.676,30.09,-137.2
example_species,111.7939,34.8576,2020,3,0,16.32,0.633,29.92,-38.0
example_species,120.6987,26.1893,2020,6,0,18.95,0.698,30.05,-93.0
example_species,121.4118,25.5803,2021,9,1,21.02,0.658,29.5,-85.0
example_species,118.4192,31.6462,2023,9,1,19.81,1.091,29.32,-23.8
example_species,121.5645,25.1121,2021,7,0,20.72,0.472,30.85,-5.0
example_species,117.4069,33.9614,2023,12,0,19.2,0.494,29.61,-59.9
example_species,117.841,32.8762,2023,3,0,20.24,0.475,29.54,-41.6
example_species,116.4131,26.4349,2020,4,0,19.86,0.489,28.95,-5.0
example_species,110.3813,31.2631,2022,6,1,21.76,0.472,29.68,-44.2
example_species,111.6184,31.3181,2020,11,1,20.4,0.838,29.35,-5.0
example_species,110.4714,21.5469,2022,5,1,20.51,0.884,30.82,-16.5
example_species,119.5462,33.5383,2023,2,0,19.52,0.486,30.55,-166.4
example_species,114.7153,27.5788,2020,6,0,19.33,0.434,29.68,-10.0
example_species,117.6286,32.3969,2022,3,0,19.46,0.694,31.16,-36.8
example_species,123.6135,24.8007,2021,8,1,20.78,0.49,30.55,-5.0
example_species,113.7394,33.4328,2022,2,0,19.42,0.727,29.85,-20.3
example_species,116.1557,25.838,2020,1,1,20.52,0.641,28.78,-61.9
example_species,121.3333,20.1626,2021,9,1,23.27,0.297,31.19,-125.2
example_species,113.432,33.5807,2022,12,1,21.35,0.909,29.32,-73.3
example_species,111.1547,21.3693,2022,3,1,19.53,0.959,29.18,-101.6
example_species,114.3463,24.7897,2022,11,1,21.86,0.477,30.53,-87.4
example_species,112.4183,34.2509,2022,1,0,19.42,0.522,31.23,-26.1
example_species,123.9455,34.2591,2022,7,0,17.14,0.657,30.75,-5.0
example_species,122.1218,28.6016,2021,10,0,18.66,0.667,30.33,-32.5
example_species,119.5011,29.4776,2023,5,0,17.33,0.732,30.34,-128.7
example_species,123.0719,26.7267,2021,5,1,19.66,1.002,30.48,-27.7
example_species,122.0551,24.3982,2021,1,0,20.2,0.565,30.43,-5.0
example_species,112.7986,24.93,2021,9,1,22.55,0.44,30.15,-89.3
example_species,123.3884,30.0878,2023,7,0,20.68,0.324,30.11,-65.6
example_species,118.0901,31.2856,2020,8,0,19.78,0.454,30.0,-57.8
example_species,122.1116,31.8737,2023,9,1,21.41,0.593,29.68,-106.3
example_species,123.4414,31.8443,2021,6,0,16.87,0.959,29.92,-20.3
example_species,114.7701,21.3681,2022,12,0,20.42,0.496,29.17,-57.8
example_species,111.6508,27.4163,2022,5,1,21.18,0.645,29.96,-29.9
example_species,113.419,20.8634,2021,6,0,17.83,0.597,29.52,-104.3
example_species,116.4066,28.2429,2022,11,1,21.81,0.838,29.48,-82.1
example_species,122.2702,26.623,2021,2,1,20.68,1.105,30.14,-11.0
example_species,122.911,33.3156,2022,4,0,19.56,0.494,30.75,-82.9
example_species,110.1043,25.2637,2023,3,1,20.95,0.502,30.46,-5.0
example_species,117.6612,21.756,2020,7,1,23.51,0.809,29.25,-74.2
example_species,116.2612,22.1449,2020,9,1,20.36,0.736,29.53,-36.7
example_species,113.3316,31.4227,2023,5,1,20.42,0.969,30.48,-5.0
example_species,111.798,29.2733,2023,6,0,19.34,0.717,29.52,-141.9
example_species,115.0642,21.5168,2021,10,0,18.8,0.528,29.91,-156.1
example_species,124.1436,21.2616,2021,12,1,21.44,0.718,30.34,-142.2
example_species,114.848,30.5145,2021,12,0,18.78,0.822,29.54,-5.0
example_species,117.7819,21.0914,2022,2,1,20.22,0.764,30.09,-84.0
example_species,120.5453,32.3279,2021,3,0,19.43,0.701,29.38,-5.0
example_species,115.4544,30.5936,2023,3,1,20.79,0.813,29.72,-91.9
example_species,124.5767,21.2202,2020,12,1,20.7,0.834,30.22,-39.7
example_species,124.4367,21.2726,2022,12,1,21.76,0.876,29.27,-5.0
example_species,113.7767,34.7996,2021,9,0,19.29,0.73,30.24,-5.0
example_species,117.4587,25.6141,2022,7,0,19.7,0.567,30.02,-5.0
example_species,114.5132,25.5596,2022,8,0,18.59,0.629,30.3,-5.0
example_species,114.2726,32.192,2021,11,1,19.39,0.841,30.13,-5.0
example_species,110.5533,34.2087,2022,10,0,20.57,0.437,30.68,-25.8
example_species,119.1435,34.79,2020,11,1,21.26,0.674,30.1,-15.2
example_species,117.5402,31.3007,2023,9,0,18.72,0.521,29.82,-91.7
example_species,110.7722,25.6439,2023,6,1,21.32,0.606,30.06,-102.5
example_species,114.1797,21.2525,2020,4,1,22.09,0.856,30.29,-50.9
example_species,123.624,31.6572,2022,12,1,20.81,0.638,30.08,-69.2
example_species,113.5934,28.3761,2021,1,1,22.87,0.609,30.04,-83.1
example_species,112.1734,26.3633,2022,8,0,18.87,0.328,29.66,-12.3
example_species,117.3418,33.5953,2020,7,0,18.24,0.749,29.7,-5.0
example_species,124.7848,21.668,2022,2,0,17.54,0.729,29.36,-45.0
example_species,113.6308,27.3894,2023,8,1,22.29,1.033,30.89,-5.0
example_species,120.082,20.1703,2022,12,1,21.12,0.538,29.42,-120.2
example_species,121.4243,27.0299,2020,5,1,20.08,0.644,29.7,-66.3
example_species,113.5646,20.8445,2023,7,1,20.47,0.65,29.66,-94.1
example_species,120.9232,21.7823,2022,4,0,18.46,0.915,30.5,-162.2
example_species,115.5167,21.7629,2022,5,1,23.75,0.581,29.88,-55.2
example_species,119.4846,29.7382,2023,8,1,20.33,0.656,30.67,-64.5
example_species,119.5029,31.1907,2021,1,1,20.3,0.722,29.7,-5.0
example_species,118.0366,28.7505,2023,1,1,21.2,0.637,30.17,-18.4
example_species,111.3543,34.4326,2021,4,1,20.74,0.511,29.59,-123.0
example_species,122.5295,25.6231,2020,3,1,20.51,0.639,31.13,-5.0
example_species,114.8117,24.2857,2020,10,0,18.88,0.815,29.43,-5.0
example_species,112.7978,33.029,2023,12,0,20.75,0.395,30.17,-25.3
example_species,110.6116,23.3539,2023,2,1,22.83,0.627,30.32,-64.8
example_species,118.8634,34.4483,2020,12,1,22.14,0.46,30.25,-119.2
example_species,120.1635,20.1823,2021,3,1,22.53,0.839,29.95,-74.0
example_species,110.2488,34.5482,2020,11,0,19.24,0.295,29.94,-5.0
example_species,117.6814,20.6474,2023,11,0,18.62,0.488,30.06,-5.0
example_species,113.3974,33.3671,2020,11,0,19.86,0.675,29.94,-5.0
example_species,119.6776,27.9155,2023,1,1,20.22,0.913,30.52,-84.8
example_species,112.6155,34.8945,2023,1,1,21.68,0.587,31.12,-129.2
example_species,120.3641,21.1069,2020,6,0,17.61,0.489,29.77,-42.4
example_species,115.801,28.3078,2021,5,1,22.38,0.976,29.34,-162.0
example_species,124.0509,34.5395,2022,8,0,19.96,0.31,30.02,-42.3
example_species,112.0628,27.8465,2020,2,0,19.39,0.16,31.3,-64.3
example_species,115.116,29.441,2022,4,0,18.55,0.688,29.62,-84.9
example_species,111.7021,30.4362,2020,8,0,17.54,0.5,30.83,-153.5
example_species,123.8704,26.8181,2022,12,1,21.43,0.396,30.9,-23.7
example_species,123.1601,29.4134,2021,6,1,20.29,0.742,29.78,-88.9
example_species,113.8691,28.7647,2021,1,0,18.12,0.649,30.3,-126.5
example_species,119.8998,33.5174,2020,4,0,18.2,0.487,30.86,-233.1
example_species,122.2583,20.6817,2023,1,0,19.67,0.344,29.86,-52.9
example_species,118.328,24.2144,2022,2,1,22.62,0.774,29.93,-5.0
example_species,117.9448,34.2562,2023,5,0,19.72,0.73,29.74,-5.0
example_species,113.6278,33.354,2023,8,0,17.8,0.58,29.51,-88.0
example_species,111.3965,26.8349,2023,8,1,19.65,0.969,29.68,-90.6
example_species,123.4582,29.302,2021,11,0,19.78,0.386,29.45,-28.7
example_species,123.5063,24.1607,2020,3,0,16.14,0.295,30.08,-111.9
example_species,119.4965,22.8218,2020,11,0,20.05,0.462,29.66,-32.7
example_species,115.0854,26.9555,2021,4,0,19.72,0.591,30.14,-8.6
example_species,115.2381,25.3003,2021,10,1,21.12,0.649,29.24,-5.0
example_species,120.8893,28.7548,2020,11,1,22.93,0.552,30.21,-62.3
example_species,123.4567,21.166,2023,6,1,21.88,0.67,30.48,-63.0
example_species,123.3063,34.6159,2022,11,0,19.78,0.35,29.06,-114.4
example_species,121.6981,34.7932,2022,11,0,18.5,0.889,30.24,-111.5
example_species,119.6305,30.4724,2022,10,1,23.99,0.584,30.66,-71.5
example_species,111.2621,28.0414,2023,3,1,20.11,0.823,29.4,-33.6
example_species,112.4244,24.6429,2020,2,1,20.05,0.669,30.85,-5.0
example_species,123.4783,32.2069,2021,6,1,20.15,0.691,30.27,-107.7
example_species,119.0964,30.271,2020,11,1,20.42,0.714,29.69,-5.0
example_species,110.138,22.4393,2023,5,0,19.79,0.69,29.97,-66.7
example_species,111.5221,33.6639,2021,10,0,19.16,0.728,30.29,-62.1
example_species,119.9525,32.3381,2023,5,1,19.32,0.866,30.08,-104.5
example_species,110.0759,34.247,2022,10,1,19.95,0.639,30.27,-206.9
example_species,112.4121,30.8858,2022,5,0,19.22,0.742,29.55,-5.2
example_species,118.231,29.2012,2023,10,0,19.05,0.582,30.12,-12.5
example_species,120.3784,26.2736,2021,12,1,20.3,0.888,29.34,-70.9
example_species,119.7794,33.9909,2021,5,0,19.75,0.465,29.99,-57.1
example_species,113.364,32.991,2020,3,1,22.3,0.96,29.56,-29.3
example_species,120.6827,20.6783,2022,7,0,16.17,0.592,29.68,-145.0
example_species,113.5587,20.3955,2020,6,1,21.69,0.314,30.63,-83.2
example_species,114.881,25.647,2020,4,1,21.94,0.626,30.57,-5.7
example_species,121.1974,32.1583,2023,2,0,17.05,0.464,30.35,-134.7
example_species,119.7445,34.8091,2023,12,1,19.62,0.768,29.5,-44.3
example_species,122.7384,22.2563,2020,9,0,19.62,0.469,29.9,-131.6
example_species,119.8642,28.912,2022,1,0,18.03,0.511,30.65,-28.4
example_species,118.5246,25.7134,2023,11,0,18.95,0.222,30.11,-55.6
example_species,111.4051,34.5487,2020,4,0,18.35,0.509,31.17,-158.6
example_species,115.5157,32.6318,2020,1,1,22.71,0.115,30.22,-5.0
example_species,113.978,32.5749,2020,6,1,21.46,0.283,30.11,-103.9
example_species,113.6598,27.0304,2020,4,1,21.96,0.752,29.86,-103.3
example_species,124.5952,26.2223,2020,5,1,21.29,0.757,30.13,-41.9
example_species,115.8965,24.1011,2020,5,0,18.39,0.685,29.95,-5.0
example_species,123.3807,20.8456,2023,9,0,19.4,0.407,30.41,-112.0
example_species,119.4671,32.9708,2022,1,1,20.87,0.59,30.52,-56.5
example_species,121.9222,32.1935,2020,2,0,18.33,0.599,29.66,-33.8
example_species,117.5396,34.9958,2021,6,1,21.17,0.368,29.37,-20.5
example_species,118.6536,34.9496,2023,5,1,19.76,0.901,29.12,-51.5
example_species,117.3878,28.3315,2023,11,1,19.54,0.775,30.29,-77.9
example_species,112.9286,31.5348,2020,7,1,21.11,0.556,29.46,-108.5
example_species,120.8368,34.1715,2023,3,1,20.82,0.605,28.97,-56.2
example_species,114.2116,32.7447,2020,3,0,19.52,0.642,30.21,-124.3
example_species,110.3647,23.7102,2022,10,1,21.74,0.192,31.25,-226.9
example_species,119.6821,26.7582,2022,2,0,18.51,0.551,30.04,-28.2
example_species,112.6567,21.9374,2023,3,1,20.96,0.464,30.43,-5.0
example_species,124.1069,34.3108,2023,10,1,21.09,0.4,30.1,-203.2
example_species,124.3089,29.0926,2021,1,0,19.74,0.544,30.01,-117.2
example_species,123.723,23.4296,2023,5,1,20.68,0.96,30.52,-14.2
example_species,115.5524,30.0755,2021,12,0,18.2,0.728,29.88,-5.0
example_species,110.2318,29.2719,2022,5,1,21.39,0.486,30.13,-55.5
example_species,123.9248,25.3724,2022,12,1,19.92,0.715,30.22,-96.8
example_species,116.4228,21.7034,2020,11,1,19.31,0.88,29.69,-61.2
example_species,124.4998,30.0736,2022,7,1,21.78,0.785,30.56,-5.0
example_species,124.4543,27.8046,2021,4,0,19.15,0.612,29.98,-94.2
example_species,122.7951,31.5848,2023,3,0,18.07,0.471,29.68,-106.9
example_species,114.4167,27.8025,2020,1,0,17.73,0.74,30.29,-84.4
example_species,115.7765,32.7827,2021,12,1,20.99,0.679,29.58,-117.2
example_species,122.7671,28.2786,2023,8,0,18.26,0.779,30.07,-48.5
example_species,114.7538,28.4141,2020,3,1,22.7,0.727,30.02,-5.0
example_species,112.5424,33.1498,2022,2,0,16.91,0.81,30.55,-41.0
example_species,118.352,26.0522,2021,11,1,22.66,0.493,30.27,-68.9
example_species,124.0423,22.0102,2023,4,1,20.51,0.863,30.05,-67.5
example_species,120.4404,20.4317,2020,3,1,20.0,0.639,30.45,-145.3
example_species,118.5509,31.3271,2020,1,1,19.3,1.015,30.73,-5.7
example_species,111.4576,29.3046,2022,3,0,20.62,0.462,30.29,-61.5
example_species,119.2251,30.5612,2023,12,1,20.07,0.947,30.05,-68.8
example_species,124.8508,23.1945,2022,2,1,21.86,0.64,29.41,-5.0
example_species,112.1013,22.0456,2022,8,0,20.2,0.47,29.48,-32.1
example_species,117.7749,20.2182,2023,6,0,20.33,0.503,29.88,-96.8
example_species,123.1606,25.2588,2023,9,0,19.64,0.536,29.75,-78.6
example_species,121.1115,28.8488,2023,8,1,20.07,0.685,29.95,-5.0
example_species,120.4552,25.8837,2021,10,1,20.61,0.705,30.07,-46.8
example_species,120.5373,26.5621,2023,3,0,17.58,0.485,30.31,-140.5
example_species,115.3924,33.5624,2020,5,0,18.05,0.595,29.99,-5.6
example_species,114.4039,25.2238,2022,7,1,21.18,1.028,30.26,-93.1
example_species,122.1404,27.7098,2021,5,1,20.43,0.945,30.09,-5.0
example_species,122.1517,31.7548,2023,8,0,19.89,0.687,29.07,-5.0
example_species,123.0061,25.9481,2021,12,1,20.21,0.608,29.59,-80.5
example_species,123.6986,29.3313,2023,5,1,20.71,0.624,29.99,-5.0
example_species,117.6701,32.9355,2021,1,0,19.3,0.723,29.43,-56.1
example_species,117.5227,34.2428,2022,5,0,18.94,0.395,30.33,-10.2
example_species,121.9744,22.2061,2022,4,1,20.46,0.549,30.82,-21.1
example_species,119.7495,33.8988,2020,6,0,18.67,0.266,30.65,-111.9
example_species,120.5295,27.3817,2020,3,1,20.76,0.68,29.94,-93.6
example_species,121.9369,23.8737,2023,11,0,17.61,0.729,30.8,-5.0
example_species,123.3501,26.887,2022,5,1,21.73,0.503,30.13,-74.6
example_species,115.0699,34.7005,2021,2,1,20.78,0.915,29.85,-86.0
example_species,115.6337,27.3893,2021,11,0,20.46,0.355,29.72,-112.3
example_species,111.4097,24.9313,2021,6,1,21.49,0.307,29.85,-27.3
example_species,118.6742,29.501,2020,12,1,22.62,0.645,29.84,-5.0
example_species,110.5391,23.6022,2021,6,1,21.53,0.809,30.09,-115.5
example_species,116.984,21.1379,2020,5,0,17.34,0.937,30.11,-49.3
example_species,118.1397,21.9332,2020,6,0,18.19,0.508,30.04,-5.0
example_species,114.2981,21.9207,2023,11,0,19.12,0.816,30.24,-54.9
example_species,118.8625,22.2785,2021,7,0,20.16,0.592,30.63,-23.1
example_species,110.4575,22.0824,2021,12,1,20.78,0.565,30.48,-113.8
example_species,110.5602,29.6131,2022,5,0,18.92,0.777,29.26,-31.4
example_species,122.339,22.7282,2023,1,1,20.45,0.73,28.78,-61.9
example_species,115.4029,25.185,2022,8,0,18.94,0.285,30.49,-5.0
example_species,111.9059,33.4518,2023,4,0,19.11,0.895,29.32,-5.0
example_species,117.8336,27.1094,2021,9,0,18.0,0.876,29.92,-5.0
example_species,121.5499,30.0134,2020,10,0,18.78,0.475,29.47,-22.7
example_species,113.2373,22.5848,2020,12,0,18.02,0.679,29.11,-31.0
example_species,119.3434,22.8843,2020,6,0,18.67,0.699,30.31,-39.2
example_species,111.2802,20.613,2020,1,1,21.6,0.652,30.39,-72.5
